id,x,y,nx,ny,name,kind
J009,760,164,0.524862,0.151013,北部生活区西侧转折点,intersection
J010,807,199,0.557320,0.183241,北部生活区道路交叉点,intersection
J011,879,217,0.607044,0.199816,东园北侧交叉点,intersection
J012,930,262,0.642265,0.241252,东园中部交叉点,intersection
J013,1038,310,0.716851,0.285451,东门主路西侧交叉点,intersection
J014,1150,255,0.794199,0.234807,东门主路入口交叉点,intersection
J015,139,390,0.095994,0.359116,西部规划区道路连接点,intersection
J016,150,447,0.103591,0.411602,西园北段西侧交叉点,intersection
J017,154,515,0.106354,0.474217,西园北段中部交叉点,intersection
J018,161,579,0.111188,0.533149,西园中段西侧交叉点,intersection
J019,166,649,0.114641,0.597606,西园中南段西侧交叉点,intersection
J020,169,711,0.116713,0.654696,西园南段西侧交叉点,intersection
J021,168,779,0.116022,0.717311,西园南部西侧交叉点,intersection
J022,165,850,0.113950,0.782689,西园西南交叉点,intersection
J023,258,413,0.178177,0.380295,西园北路西交叉点,intersection
J024,281,421,0.194061,0.387661,西园北路东交叉点,intersection
J025,432,425,0.298343,0.391344,明远大道西园北连接点,intersection
J026,441,497,0.304558,0.457643,明远大道西园中北连接点,intersection
J027,448,565,0.309392,0.520258,明远大道西园中部连接点,intersection
J028,451,630,0.311464,0.580110,明远大道西园中南连接点,intersection
J029,443,705,0.305939,0.649171,明远大道西园南连接点,intersection
J030,430,817,0.296961,0.752302,西园东南道路交叉点,intersection
J031,230,574,0.158840,0.528545,西园中路西交叉点,intersection
J032,312,574,0.215470,0.528545,西园中路中央交叉点,intersection
J033,386,574,0.266575,0.528545,西园中路东交叉点,intersection
J034,230,660,0.158840,0.607735,西园南一路西交叉点,intersection
J035,308,660,0.212707,0.607735,西园南一路中央交叉点,intersection
J036,385,660,0.265884,0.607735,西园南一路东交叉点,intersection
J037,222,742,0.153315,0.683241,西园南二路西交叉点,intersection
J038,300,742,0.207182,0.683241,西园南二路中央交叉点,intersection
J039,380,742,0.262431,0.683241,西园南二路东交叉点,intersection
J040,223,790,0.154006,0.727440,西园南三路西交叉点,intersection
J041,305,790,0.210635,0.727440,西园南三路中央交叉点,intersection
J042,390,790,0.269337,0.727440,西园南三路东交叉点,intersection
J043,225,304,0.155387,0.279926,江安河西北弯道连接点,intersection
J044,211,350,0.145718,0.322284,江安河西岸北段连接点,intersection
J045,220,395,0.151934,0.363720,明远大道北段西接入点,intersection
J046,478,350,0.330110,0.322284,明远湖北西岸连接点,intersection
J047,531,326,0.366713,0.300184,明远湖北岸西段节点,intersection
J048,598,307,0.412983,0.282689,明远湖北岸中段节点,intersection
J049,672,312,0.464088,0.287293,明远湖北岸东段节点,intersection
J050,731,337,0.504834,0.310313,明远湖行政楼连接点,intersection
J051,777,372,0.536602,0.342541,行政楼湖岸交叉点,intersection
J052,808,422,0.558011,0.388582,明远湖东北岸节点,intersection
J053,775,476,0.535221,0.438306,明远湖东岸北段节点,intersection
J054,758,525,0.523481,0.483425,明远湖东岸中段节点,intersection
J055,735,574,0.507597,0.528545,明远湖东南岸节点,intersection
J056,700,610,0.483425,0.561694,明远湖南岸东段节点,intersection
J057,651,622,0.449586,0.572744,明远湖南岸桥东连接点,intersection
J058,585,623,0.404006,0.573665,明远湖南岸中段节点,intersection
J059,530,615,0.366022,0.566298,明远湖南岸西段节点,intersection
J060,481,612,0.332182,0.563536,明远湖西南岸节点,intersection
J061,461,560,0.318370,0.515654,明远湖西岸南段节点,intersection
J062,457,503,0.315608,0.463168,明远湖西岸中段节点,intersection
J063,458,446,0.316298,0.410681,明远湖西岸北段节点,intersection
J064,468,395,0.323204,0.363720,明远湖西北步道节点,intersection
J065,258,421,0.178177,0.387661,明远大道北段西侧转折点,intersection
J066,446,455,0.308011,0.418969,江安河东岸北段节点,intersection
J067,438,535,0.302486,0.492634,江安河东岸中段节点,intersection
J068,447,590,0.308702,0.543278,明远湖长桥西侧接入点,intersection
J069,814,329,0.562155,0.302947,行政楼东侧道路交叉点,intersection
J070,846,380,0.584254,0.349908,行政楼南侧道路交叉点,intersection
J071,788,458,0.544199,0.421731,中央广场西北交叉点,intersection
J072,823,475,0.568370,0.437385,中央广场北侧交叉点,intersection
J073,760,526,0.524862,0.484346,中央广场西侧交叉点,intersection
J074,839,532,0.579420,0.489871,中央广场东侧交叉点,intersection
J075,808,579,0.558011,0.533149,中央广场南侧交叉点,intersection
J076,856,385,0.591160,0.354512,教学区西北道路交叉点,intersection
J077,929,358,0.641575,0.329650,教学区主路北交叉点,intersection
J078,892,490,0.616022,0.451197,第一教学楼西侧交叉点,intersection
J079,906,564,0.625691,0.519337,第一教学楼南侧交叉点,intersection
J080,889,599,0.613950,0.551565,第二教学楼西北交叉点,intersection
J081,919,666,0.634669,0.613260,第二教学楼南侧交叉点,intersection
J082,1000,448,0.690608,0.412523,教学区主路中段交叉点,intersection
J083,1000,570,0.690608,0.524862,教学区主路南段交叉点,intersection
J084,850,700,0.587017,0.644567,南部教学区道路交叉点,intersection
J085,1030,354,0.711326,0.325967,体育区西北道路交叉点,intersection
J086,1084,390,0.748619,0.359116,游泳馆体育馆交叉点,intersection
J087,1145,392,0.790746,0.360958,体育场西北交叉点,intersection
J088,1210,355,0.835635,0.326888,体育场北侧道路节点,intersection
J089,1304,411,0.900552,0.378453,体育场东北道路交叉点,intersection
J090,1300,548,0.897790,0.504604,体育场东南道路交叉点,intersection
J091,1235,602,0.852901,0.554328,体育场南侧道路节点,intersection
J092,1128,596,0.779006,0.548803,体育区西南道路交叉点,intersection
J093,1245,633,0.859807,0.582873,东部训练区道路交叉点,intersection
J094,1284,706,0.886740,0.650092,东南校区道路交叉点,intersection
J095,485,845,0.334945,0.778085,江安大道南段西连接点,intersection
J096,700,824,0.483425,0.758748,南门主路西侧连接点,intersection
J097,972,749,0.671271,0.689687,南门主路东侧连接点,intersection
J098,790,906,0.545580,0.834254,教工住宅区北入口交叉点,intersection
J099,820,960,0.566298,0.883978,教工住宅区中心交叉点,intersection
B001,590,60,0.407459,0.055249,北侧大件路江安河桥西端,intersection
B002,641,56,0.442680,0.051565,北侧大件路江安河桥东端,intersection
B003,730,298,0.504144,0.274401,明远大道北段水桥西端,intersection
B004,766,309,0.529006,0.284530,明远大道北段水桥东端,intersection
B005,447,383,0.308702,0.352670,明远湖西北桥西端,intersection
B006,481,391,0.332182,0.360037,明远湖西北桥东端,intersection
B007,439,619,0.303177,0.569982,明远湖长桥西端,intersection
B008,648,623,0.447514,0.573665,明远湖长桥东端,intersection
B009,534,528,0.368785,0.486188,湖心步行桥西端,intersection
B010,548,524,0.378453,0.482505,湖心步行桥东端,intersection
B011,566,538,0.390884,0.495396,学术交流中心桥西端,intersection
B012,583,564,0.402624,0.519337,学术交流中心桥东端,intersection
B013,933,399,0.644337,0.367403,教学区景观渠北桥西端,intersection
B014,958,420,0.661602,0.386740,教学区景观渠北桥东端,intersection
B015,884,654,0.610497,0.602210,教学区景观渠南桥西端,intersection
B016,908,674,0.627072,0.620626,教学区景观渠南桥东端,intersection
B017,690,827,0.476519,0.761510,江安大道南段跨河桥西端,intersection
B018,775,810,0.535221,0.745856,江安大道南段跨河桥东端,intersection
